Stand: 29.06.2021

"Emittententicker":"Name":"Anlageklasse":"Gewichtung (%)":"Kurs":"Nominale":"Marktwert":"Nominalwert":"Sektor":"ISIN":"Börse":"Standort":"Marktwährung"
"AMC":"AMC ENTERTAINMENT HOLDINGS INC CLA":"Aktien":0.26:56.43:192522:10864016:10864016.46:"Kommunikation":"US00165C1045":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"NUAN":"NUANCE COMMUNICATIONS INC":"Aktien":0.195:54.55:148494:8100348:8100347.7:"IT":"US67020Y1001":"NASDAQ":"Vereinigte Staaten":"USD"
"ENTG":"ENTEGRIS INC":"Aktien":0.19:123.26:65172:8033101:8033100.72:"IT":"US29362U1043":"NASDAQ":"Vereinigte Staaten":"USD"
"FANG":"DIAMONDBACK ENERGY INC":"Aktien":0.18:92.62:83563:7739605:7739605.06:"Energie":"US25278X1090":"NASDAQ":"Vereinigte Staaten":"USD"
"EUR":"EUR CASH":"Geldmarkt":0.165:119.05:5655531:6732910:6732910.02:"Cash und/oder Derivate":"-":"-":"Europäische Union":"EUR"
"BILL":"BILL COM HOLDINGS INC":"Aktien":0.16:186.38:35655:6645379:6645378.9:"IT":"US0900431000":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"SBNY":"SIGNATURE BANK":"Aktien":0.155:244:26515:6469660:6469660:"Financials":"US82669G1040":"NASDAQ":"Vereinigte Staaten":"USD"
"PWR":"QUANTA SERVICES INC":"Aktien":0.153:90.71:69370:6292553:6292552.7:"Industrie":"US74762E1029":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"GME":"GAMESTOP CORP CLASS A":"Aktien":0.151:210.88:29441:6208518:6208518.08:"Zyklische Konsumgüter ":"US36467W1099":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"WSM":"WILLIAMS SONOMA INC":"Aktien":0.149:161.24:38451:6199839:6199839.24:"Zyklische Konsumgüter ":"US9699041011":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"PENN":"PENN NATIONAL GAMING INC":"Aktien":0.147:76.25:80392:6129890:6129890:"Zyklische Konsumgüter ":"US7075691094":"NASDAQ":"Vereinigte Staaten":"USD"
"TREX":"TREX INC":"Aktien":0.145:103.08:58636:6044199:6044198.88:"Industrie":"US89531P1057":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"GGG":"GRACO INC":"Aktien":0.143333333333333:75.59:79628:6019081:6019080.52:"Industrie":"US3841091040":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"FIVN":"FIVE9 INC":"Aktien":0.141666666666667:186.75:32097:5994115:5994114.75:"IT":"US3383071012":"NASDAQ":"Vereinigte Staaten":"USD"
"CREE":"CREE INC":"Aktien":0.14:101.49:58544:5941631:5941630.56:"IT":"US2254471012":"NASDAQ":"Vereinigte Staaten":"USD"
"TPR":"TAPESTRY INC":"Aktien":0.138333333333333:42.16:137055:5778239:5778238.8:"Zyklische Konsumgüter ":"US8760301072":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"RH":"RH":"Aktien":0.136666666666667:689.77:8360:5766477:5766477.2:"Zyklische Konsumgüter ":"US74967X1037":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"TTC":"TORO":"Aktien":0.135:109.24:51861:5665296:5665295.64:"Industrie":"US8910921084":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"AXON":"AXON ENTERPRISE INC":"Aktien":0.134:174.14:32347:5632907:5632906.58:"Industrie":"US05464C1018":"NASDAQ":"Vereinigte Staaten":"USD"
"PRAH":"PRA HEALTH SCIENCES INC":"Aktien":0.133:168.01:32889:5525681:5525680.89:"Gesundheitsversorgung":"US69354M1080":"NASDAQ":"Vereinigte Staaten":"USD"
"CHGG":"CHEGG INC":"Aktien":0.132:84.93:64841:5506946:5506946.13:"Zyklische Konsumgüter ":"US1630921096":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"FND":"FLOOR DECOR HOLDINGS INC CLASS A":"Aktien":0.131:106.46:51716:5505685:5505685.36:"Zyklische Konsumgüter ":"US3397501012":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"LPLA":"LPL FINANCIAL HOLDINGS INC":"Aktien":0.13:135.54:40016:5423769:5423768.64:"Financials":"US50212V1008":"NASDAQ":"Vereinigte Staaten":"USD"
"DECK":"DECKERS OUTDOOR CORP":"Aktien":0.129:382.8:14131:5409347:5409346.8:"Zyklische Konsumgüter ":"US2435371073":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"FIVE":"FIVE BELOW INC":"Aktien":0.128:196.67:27411:5390921:5390921.37:"Zyklische Konsumgüter ":"US33829M1018":"NASDAQ":"Vereinigte Staaten":"USD"
"NCLH":"NORWEGIAN CRUISE LINE HOLDINGS LTD":"Aktien":0.127:28.91:185690:5368298:5368297.9:"Zyklische Konsumgüter ":"BMG667211046":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"MRO":"MARATHON OIL CORP":"Aktien":0.126:13.33:402314:5362846:5362845.62:"Energie":"US5658491064":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
