Stand: 29.06.2021

"Emittententicker":"Name":"Anlageklasse":"Art":"Gewichtung (%)":"Kurs":"Nominale":"Marktwert":"Nominalwert":"Sektor":"ISIN":"Börse":"Standort":"Marktwährung"
"VWS":"VESTAS WIND SYSTEMS":"Aktien":"Aktien":7.98:39.83:11681809:465316087:465316087.38:"Industrie":"DK0061539921":"Omx Nordic Exchange Copenhagen A/S":"Dänemark":"DKK"
"ENPH":"ENPHASE ENERGY INC":"Aktien":"Aktien":6.61:185.71:2076720:385667671:385667671.2:"IT":"US29355A1079":"NASDAQ":"Vereinigte Staaten":"USD"
"ORSTED":"ORSTED":"Aktien":"Aktien":5.87:143.38:2388493:342472456:342472455.96:"Versorger":"DK0060094928":"Omx Nordic Exchange Copenhagen A/S":"Dänemark":"DKK"
"PLUG":"PLUG POWER INC":"Aktien":"Aktien":4.72:34.08:8082541:275452997:275452997.28:"Industrie":"US72919P2020":"NASDAQ":"Vereinigte Staaten":"USD"
"XEL":"XCEL ENERGY INC":"Aktien":"Aktien":4.07:65.71:3613758:237460038:237460038.18:"Versorger":"US98389B1008":"NASDAQ":"Vereinigte Staaten":"USD"
"NEE":"NEXTERA ENERGY INC":"Aktien":"Aktien":4.04:74.08:3178191:235440389:235440389.28:"Versorger":"US65339F1012":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"SEDG":"SOLAREDGE TECHNOLOGIES INC":"Aktien":"Aktien":4.03:283.57:829664:235267820:235267820.48:"IT":"US83417M1045":"NASDAQ":"Vereinigte Staaten":"USD"
"IBE":"IBERDROLA SA":"Aktien":"Aktien":3.97:12.45:18616977:231719509:231719508.74:"Versorger":"ES0144580Y14":"Bolsa De Madrid":"Spanien":"EUR"
"ENEL":"ENEL":"Aktien":"Aktien":3.95:9.57:24075665:230385792:230385792.47:"Versorger":"IT0003128367":"Borsa Italiana":"Italien":"EUR"
"SSE":"SSE PLC":"Aktien":"Aktien":3.05:21.08:8429309:177708833:177708833.38:"Versorger":"GB0007908733":"London Stock Exchange":"Vereinigtes Königreich":"GBP"
"EDP":"EDP ENERGIAS DE PORTUGAL SA":"Aktien":"Aktien":2.65:5.45:28307317:154379063:154379062.73:"Versorger":"PTEDP0AM0009":"Nyse Euronext - Euronext Lisbon":"Portugal":"EUR"
"968":"XINYI SOLAR HOLDINGS LTD":"Aktien":"Aktien":2.59:2.23:67823200:151128803:151128803.36:"IT":"KYG9829N1025":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"RUN":"SUNRUN INC":"Aktien":"Aktien":2.52:56.91:2581830:146931945:146931945.3:"Industrie":"US86771W1053":"NASDAQ":"Vereinigte Staaten":"USD"
"FSLR":"FIRST SOLAR INC":"Aktien":"Aktien":2.17:92.67:1367780:126752173:126752172.6:"IT":"US3364331070":"NASDAQ":"Vereinigte Staaten":"USD"
"SGRE":"SIEMENS GAMESA RENEWABLE ENERGY SA":"Aktien":"Aktien":2.13:34.29:3626351:124334521:124334520.93:"Industrie":"ES0143416115":"Bolsa De Madrid":"Spanien":"EUR"
"PCG":"PG&E CORP":"Aktien":"Aktien":2.07:10.1:11958078:120776588:120776587.8:"Versorger":"US69331C1080":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
"ENR":"SIEMENS ENERGY N AG":"Aktien":"Aktien":1.73:31.26:3223896:100787145:100787145.42:"Industrie":"DE000ENER6Y0":"Xetra":"Deutschland":"EUR"
"916":"CHINA LONGYUAN POWER GROUP CORP LT":"Aktien":"Aktien":1.51:1.76:49843000:87823984:87823984.23:"Versorger":"CNE100000HD4":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"VER":"VERBUND AG":"Aktien":"Aktien":1.41:93.81:875534:82135070:82135070.29:"Versorger":"AT0000746409":"Wiener Boerse Ag":"Österreich":"EUR"
"EDPR":"EDP RENOVAVEIS SA":"Aktien":"Aktien":1.4:23.54:3480745:81923458:81923458.26:"Versorger":"ES0127797019":"Nyse Euronext - Euronext Lisbon":"Portugal":"EUR"
"NPI":"NORTHLAND POWER INC":"Aktien":"Aktien":1.27:34.11:2179579:74341411:74341411.25:"Versorger":"CA6665111002":"Toronto Stock Exchange":"Kanada":"CAD"
"AQN":"ALGONQUIN POWER UTILITIES CORP":"Aktien":"Aktien":1.24:15.04:4829573:72619003:72619003.22:"Versorger":"CA0158571053":"Toronto Stock Exchange":"Kanada":"CAD"
"BLDP":"BALLARD POWER SYSTEMS INC":"Aktien":"Aktien":1.23:18.29:3930324:71881470:71881470.41:"Industrie":"CA0585861085":"Toronto Stock Exchange":"Kanada":"CAD"
"IDA":"IDACORP INC":"Aktien":"Aktien":1.02:97.49:611783:59642725:59642724.67:"Versorger":"US4511071064":"New York Stock Exchange Inc.":"Vereinigte Staaten":"USD"
