Stand: 29.06.2021

"Emittententicker":"Name":"Anlageklasse":"Gewichtung (%)":"Kurs":"Nominale":"Marktwert":"Nominalwert":"Sektor":"ISIN":"Börse":"Standort":"Marktwährung"
"2330":"TAIWAN SEMICONDUCTOR MANUFACTURING":"Aktien":5.33:21.33:50716000:1081558395:1081558395.01:"IT":"TW0002330008":"Taiwan Stock Exchange":"Taiwan":"TWD"
"700":"TENCENT HOLDINGS LTD":"Aktien":4.45:76.06:11852240:901453238:901453237.76:"Kommunikation":"KYG875721634":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"9988":"ALIBABA GROUP HOLDING LTD":"Aktien":4.35:28.26:31185248:881269397:881269397.43:"Zyklische Konsumgüter ":"KYG017191142":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"005930":"SAMSUNG ELECTRONICS LTD":"Aktien":3.48:71.77:9825855:705236148:705236148.15:"IT":"KR7005930003":"Korea Exchange (Stock Market)":"Korea":"KRW"
"3690":"MEITUAN":"Aktien":1.53:41.71:7432400:309976509:309976509.08:"Zyklische Konsumgüter ":"KYG596691041":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"NPN":"NASPERS LIMITED N LTD":"Aktien":0.94:212.12:896773:190220323:190220323.27:"Zyklische Konsumgüter ":"ZAE000015889":"Johannesburg Stock Exchange":"Südafrika":"ZAR"
"VALE3":"CIA VALE DO RIO DOCE SH":"Aktien":0.82:22.73:7323309:166472132:166472132.38:"Materialien":"BRVALEACNOR0":"XBSP":"Brasilien":"BRL"
"RELIANCE":"RELIANCE INDUSTRIES LTD":"Aktien":0.8:28.12:5758436:161955443:161955442.83:"Energie":"INE002A01018":"National Stock Exchange Of India":"Indien":"INR"
"939":"CHINA CONSTRUCTION BANK CORP H":"Aktien":0.76:0.79:196687000:154788870:154788870.21:"Financials":"CNE1000002H1":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"INFY":"INFOSYS LTD":"Aktien":0.73:21.06:7031502:148055002:148055002.4:"IT":"INE009A01021":"National Stock Exchange Of India":"Indien":"INR"
"JD":"JD.COM ADR REPRESENTING INC":"Aktien":0.7:79.75:1779796:141938731:141938731:"Zyklische Konsumgüter ":"US47215P1066":"NASDAQ":"China":"USD"
"NIO":"NIO AMERICAN DEPOSITARY SHARES REP":"Aktien":0.66:50.34:2663649:134088091:134088090.66:"Zyklische Konsumgüter ":"US62914V1061":"New York Stock Exchange Inc.":"China":"USD"
"2318":"PING AN INSURANCE (GROUP) CO OF CH":"Aktien":0.64:9.87:13054758:128801363:128801363.09:"Financials":"CNE1000003X6":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"2269":"WUXI BIOLOGICS CAYMAN INC":"Aktien":0.63:18.56:6917365:128388917:128388917.42:"Gesundheitsversorgung":"KYG970081173":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"000660":"SK HYNIX INC":"Aktien":0.61:110.76:1123207:124408201:124408200.79:"IT":"KR7000660001":"Korea Exchange (Stock Market)":"Korea":"KRW"
"PDD":"PINDUODUO ADR REPRESENTING INC":"Aktien":0.59:133.55:902181:120486273:120486272.55:"Zyklische Konsumgüter ":"US7223041028":"NASDAQ":"China":"USD"
"HDFC":"HOUSING DEVELOPMENT FINANCE CORPOR":"Aktien":0.59:33.69:3540118:119280175:119280175.25:"Financials":"INE001A01036":"National Stock Exchange Of India":"Indien":"INR"
"BIDU":"BAIDU ADS REPTG INC CLASS A":"Aktien":0.57:207.67:555180:115294231:115294230.6:"Kommunikation":"US0567521085":"NASDAQ":"China":"USD"
"005935":"SAMSUNG ELECTRONICS NON VOTING PRE":"Aktien":0.55:65.57:1693915:111071472:111071472.24:"IT":"KR7005931001":"Korea Exchange (Stock Market)":"Korea":"KRW"
"1810":"XIAOMI CORP":"Aktien":0.52:3.54:29584000:104597693:104597693.15:"IT":"KYG9830T1067":"Hong Kong Exchanges And Clearing Ltd":"China":"HKD"
"2454":"MEDIATEK INC":"Aktien":0.52:33.51:3118000:104490242:104490242.11:"IT":"TW0002454006":"Taiwan Stock Exchange":"Taiwan":"TWD"
"2317":"HON HAI PRECISION INDUSTRY LTD":"Aktien":0.5:4:25609624:102344871:102344871.1:"IT":"TW0002317005":"Taiwan Stock Exchange":"Taiwan":"TWD"
"NTES":"NETEASE ADR INC":"Aktien":0.47:114.74:834402:95739285:95739285.48:"Kommunikation":"US64110W1027":"NASDAQ":"China":"USD"
"4BRZ":"ISHARES MSCI BRAZIL UCITS ET USDHA":"Aktien":0.47:38.98:2427454:94610020:94610019.65:"Financials":"DE000A0Q4R85":"Xetra":"Deutschland":"USD"
"GAZP":"GAZPROM":"Aktien":0.46:3.8:24447068:92819407:92819407.01:"Energie":"RU0007661625":"Standard-Classica-Forts":"Russland":"RUB"
"035420":"NAVER CORP":"Aktien":0.46:364.63:253900:92578840:92578840.1:"Kommunikation":"KR7035420009":"Korea Exchange (Stock Market)":"Korea":"KRW"
"SBER":"SBERBANK ROSSII":"Aktien":0.45:4.2:21979808:92262658:92262658.25:"Financials":"RU0009029540":"Standard-Classica-Forts":"Russland":"RUB"
"ICICIBANK":"ICICI BANK LTD":"Aktien":0.45:8.62:10598807:91391735:91391734.83:"Financials":"INE090A01021":"National Stock Exchange Of India":"Indien":"INR"
