Stand: 29.06.2021

"Emittententicker":"Name":"Anlageklasse":"Gewichtung (%)":"Kurs":"Nominale":"Marktwert":"Nominalwert":"Sektor":"ISIN":"Börse":"Standort":"Marktwährung"
"SOF":"SOFINA SA":"Aktien":1.82:367.2:34189:12554201:12554200.8:"Financials":"BE0003717312":"Nyse Euronext - Euronext Brussels":"Belgien":"EUR"
"FDJ":"LA FRANCAISE DES JEUX SA":"Aktien":1.76:49.85:244083:12167538:12167537.55:"Zyklische Konsumgüter ":"FR0013451333":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"AMP":"AMPLIFON":"Aktien":1.75:42.15:286923:12093804:12093804.45:"Gesundheitsversorgung":"IT0004056880":"Borsa Italiana":"Italien":"EUR"
"EVT":"EVOTEC":"Aktien":1.69:39.02:299277:11677789:11677788.54:"Gesundheitsversorgung":"DE0005664809":"Xetra":"Deutschland":"EUR"
"BESI":"BE SEMICONDUCTOR INDUSTRIES NV":"Aktien":1.65:72.08:158439:11420283:11420283.12:"IT":"NL0012866412":"Euronext Amsterdam":"Niederlande":"EUR"
"VER":"VERBUND AG":"Aktien":1.65:78.8:144831:11412683:11412682.8:"Versorger":"AT0000746409":"Wiener Boerse Ag":"Österreich":"EUR"
"ALLFG":"ALLFUNDS GROUP PLC":"Aktien":1.61:14.66:760446:11149659:11149659.25:"Financials":"GB00BNTJ3546":"Euronext Amsterdam":"Vereinigtes Königreich":"EUR"
"SK":"SEB SA":"Aktien":1.59:154.6:70997:10976136:10976136.2:"Zyklische Konsumgüter ":"FR0000121709":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"VALMT":"VALMET":"Aktien":1.57:37.2:292155:10868166:10868166:"Industrie":"FI4000074984":"Nasdaq Omx Helsinki Ltd.":"Finnland":"EUR"
"EDPR":"EDP RENOVAVEIS SA":"Aktien":1.51:19.77:527253:10423792:10423791.81:"Versorger":"ES0127797019":"Nyse Euronext - Euronext Lisbon":"Portugal":"EUR"
"DLG":"DIALOG SEMICON PLC":"Aktien":1.48:65.4:156353:10225486:10225486.2:"IT":"GB0059822006":"Xetra":"Deutschland":"EUR"
"LI":"KLEPIERRE REIT SA":"Aktien":1.45:21.45:467870:10035812:10035811.5:"Immobilien":"FR0000121964":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"WDP":"WAREHOUSES DE PAUW NV":"Aktien":1.45:32.66:306955:10025150:10025150.3:"Immobilien":"BE0974349814":"Nyse Euronext - Euronext Brussels":"Belgien":"EUR"
"INPST":"INPOST SA":"Aktien":1.43:16.67:592122:9873042:9873042.23:"Industrie":"LU2290522684":"Euronext Amsterdam":"Niederlande":"EUR"
"SOI":"SOITEC SA":"Aktien":1.39:190.3:50534:9616620:9616620.2:"IT":"FR0013227113":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"AALB":"AALBERTS NV":"Aktien":1.39:45.57:210404:9588110:9588110.28:"Industrie":"NL0000852564":"Euronext Amsterdam":"Niederlande":"EUR"
"RXL":"REXEL SA":"Aktien":1.37:17.73:535558:9495443:9495443.34:"Industrie":"FR0010451203":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"TYRES":"NOKIAN RENKAAT":"Aktien":1.37:34.13:278015:9488652:9488651.95:"Zyklische Konsumgüter ":"FI0009005318":"Nasdaq Omx Helsinki Ltd.":"Finnland":"EUR"
"TEN":"TENARIS SA":"Aktien":1.36:9.17:1024317:9397084:9397084.16:"Energie":"LU0156801721":"Borsa Italiana":"Italien":"EUR"
"BIRG":"BANK OF IRELAND GROUP PLC":"Aktien":1.36:4.6:2036616:9368434:9368433.6:"Financials":"IE00BD1RP616":"Irish Stock Exchange - All Market":"Irland":"EUR"
"DIA":"DIASORIN":"Aktien":1.33:159.9:57272:9157793:9157792.8:"Gesundheitsversorgung":"IT0003492391":"Borsa Italiana":"Italien":"EUR"
"IP":"INTERPUMP GROUP":"Aktien":1.32:50.55:180941:9146568:9146567.55:"Industrie":"IT0001078911":"Borsa Italiana":"Italien":"EUR"
"BAMI":"BANCO BPM":"Aktien":1.32:2.74:3324092:9098040:9098039.8:"Financials":"IT0005218380":"Borsa Italiana":"Italien":"EUR"
"BOL":"BOLLORE":"Aktien":1.3:4.56:1970921:8987400:8987399.76:"Kommunikation":"FR0000039299":"Nyse Euronext - Euronext Paris":"Frankreich":"EUR"
"KOJAMO":"KOJAMO":"Aktien":1.28:19.4:455556:8837786:8837786.4:"Immobilien":"FI4000312251":"Nasdaq Omx Helsinki Ltd.":"Finnland":"EUR"
"RAA":"RATIONAL AG":"Aktien":1.25:772.8:11187:8645314:8645313.6:"Industrie":"DE0007010803":"Xetra":"Deutschland":"EUR"
"TEG":"TAG IMMOBILIEN AG":"Aktien":1.25:26.87:321397:8635937:8635937.39:"Immobilien":"DE0008303504":"Xetra":"Deutschland":"EUR"
"ORNBV":"ORION CLASS B":"Aktien":1.24:36.67:232757:8535199:8535199.19:"Gesundheitsversorgung":"FI0009014377":"Nasdaq Omx Helsinki Ltd.":"Finnland":"EUR"
"HUH1V":"HUHTAMAKI":"Aktien":1.22:39.97:211588:8457172:8457172.36:"Materialien":"FI0009000459":"Nasdaq Omx Helsinki Ltd.":"Finnland":"EUR"
